Team,members,foreign_players,mean_age,salaries,spending,MOY,rank,points,Goal_Diff,Wins,Draws,Losses,Goals_For,Goals_Against,Season,Winner
Leicester,43,25,23.9,"7,04M","44,20M",5.9,8,52,3,14,10,14,62,59,2021-2022,0
Brighton,56,34,22.4,"2,95M","39,90M",5.9,9,51,-2,12,15,11,42,44,2021-2022,0
Wolverhampton,47,36,22.4,"3,72M","36,30M",5.7,10,51,-5,15,6,17,38,43,2021-2022,0
Newcastle,40,13,25.3,"6,11M","157,97M",5.7,11,49,-18,13,10,15,44,62,2021-2022,0
Crystal Palace,33,15,24.4,"4,77M","45,80M",5.8,12,48,4,11,15,12,50,46,2021-2022,0
Brentford,52,34,22.7,"1,25M","26,10M",5.5,13,46,-8,13,7,18,48,56,2021-2022,0
Aston Villa,48,21,22.7,"6,62M","68,00M",5.7,14,45,-2,13,6,19,52,54,2021-2022,0
Southampton,37,16,23.5,"5,09M","31,10M",5.6,15,40,-24,9,13,16,43,67,2021-2022,0
Everton,49,24,24.1,"9,80M","60,10M",5.5,16,39,-23,11,6,21,43,66,2021-2022,0
Leeds,40,16,22.1,"2,14M","15,00M",5.4,17,38,-37,9,11,18,42,79,2021-2022,0
Burnley,36,15,25.9,"4,62M","43,00M",5.6,18,35,-19,7,14,17,34,53,2021-2022,0
Watford,58,37,24.2,666K,"17,60M",5.5,19,23,-43,6,5,27,34,77,2021-2022,0
Norwich,42,25,22.8,147K,"40,00M",5.2,20,22,-61,5,7,26,23,84,2021-2022,0
Manchester City,73,38,21.9,"14,06M","103,50M",6.6,1,89,61,28,5,5,94,33,2022-2023,1
Arsenal,76,39,21.8,"10,75M","224,56M",6.4,2,84,45,26,6,6,88,43,2022-2023,0
Manchester United,73,38,23.2,"20,14M","238,02M",6.1,3,75,15,23,6,9,58,43,2022-2023,0
Newcastle,40,17,25.5,"5,92M","136,85M",6.0,4,71,35,19,14,5,68,33,2022-2023,0
Liverpool,67,36,22.3,"12,57M","129,89M",6.1,5,67,28,19,10,9,75,47,2022-2023,0
Brighton,59,34,22.0,"2,13M","40,24M",6.0,6,62,19,18,8,12,72,53,2022-2023,0
Aston Villa,64,30,23.0,"6,37M","96,14M",5.8,7,61,5,18,7,13,51,46,2022-2023,0
Tottenham,64,30,22.3,"8,96M","169,90M",5.9,8,60,7,18,6,14,70,63,2022-2023,0
Brentford,45,27,22.8,"1,34M","56,00M",5.8,9,59,12,15,14,9,58,46,2022-2023,0
Fulham,54,28,24.0,"3,65M","71,30M",5.7,10,52,2,15,7,16,55,53,2022-2023,0
Crystal Palace,63,24,22.3,"4,26M","24,00M",5.7,11,45,-9,11,12,15,40,49,2022-2023,0
Chelsea,81,44,22.6,"19,69M","617,29M",5.8,12,44,-9,11,11,16,38,47,2022-2023,0
Wolverhampton,61,43,23.6,"4,90M","186,16M",5.6,13,41,-27,11,8,19,31,58,2022-2023,0
West Ham,52,24,23.2,"5,58M","170,90M",5.7,14,40,-13,11,7,20,42,55,2022-2023,0
Bournemouth,50,16,22.8,"2,33M","83,10M",5.4,15,39,-34,11,6,21,37,71,2022-2023,0
Nottingham Forest,55,31,24.8,"3,59M","174,10M",5.5,16,38,-30,9,11,18,38,68,2022-2023,0
Everton,59,28,24.1,"8,86M","45,00M",5.7,17,36,-23,8,12,18,34,57,2022-2023,0
Leicester,58,33,23.4,"6,77M","48,00M",5.7,18,34,-17,9,7,22,51,68,2022-2023,0
Leeds,52,31,22.4,"2,63M","143,04M",5.5,19,31,-30,7,10,21,48,78,2022-2023,0
Southampton,51,24,22.5,"4,94M","117,10M",5.4,20,25,-37,6,7,25,36,73,2022-2023,0
